Event Title,Underdog,Favorite,Winner,height_delta,reach_delta,SLPM_delta,Str Acc_delta,SApm_delta,Str. Def_delta,TD Avg_delta,TD Acc_delta,TD Def_delta,Sub Avg_delta,age_delta,Odds_Delta
UFC on Fox 10 - Henderson vs. Thomson,Mike Rio,Daron Cruickshank,Favorite,-2,2,1.2,-0.01,-0.01,0.04,-0.54,0.14,0.6,-0.8,-4,-1.82
UFC on Fox 10 - Henderson vs. Thomson,George Sullivan,Mike Rhodes,Underdog,-1,-1,0.33,0,-1.71,-0.07,0.41,-0.13,-0.37,0.2,9,2.15
UFC on Fox 10 - Henderson vs. Thomson,Nikita Krylov,Walt Harris,Underdog,-2,0,1.33,0.16,-0.86,-0.1,2,0.1,-0.17,1.3,-8,3.3
UFC 169 - Barao vs. Faber 2,Urijah Faber,Renan Barao,Favorite,0,3,1.13,-0.04,1.31,-0.07,-0.05,0.11,0.33,-0.3,-8,-2.75
UFC 169 - Barao vs. Faber 2,Ricardo Lamas,Jose Aldo,Favorite,-1,-1,0.5,-0.01,0.86,0.03,-1.33,0.2,0.45,-0.8,-5,-5.86
UFC 169 - Barao vs. Faber 2,Frank Mir,Alistair Overeem,Favorite,1,1,1.49,0.17,-1.4,0.19,-0.6,0.15,0.19,-1.2,-1,-3.49
UFC 169 - Barao vs. Faber 2,John Lineker,Ali Bagautinov,Favorite,1,-2,-2.51,0.02,-1.18,-0.04,1.95,-0.22,-0.02,-0.3,5,-0.75
UFC 169 - Barao vs. Faber 2,Abel Trujillo,Jamie Varner,Underdog,0,-1,-0.27,0.07,-0.24,0.01,-1.31,-0.08,-0.26,-0.4,1,0.23
UFC 169 - Barao vs. Faber 2,Alan Patrick,John Makdessi,Underdog,3,6,-3.7,-0.09,-1.2,-0.25,3.01,0.33,-0.43,0.3,1,0.6
UFC 169 - Barao vs. Faber 2,Danny Martinez,Chris Cariaso,Favorite,-3,-3,0.62,0.15,-1.54,-0.02,-1.89,-0.06,0.21,0.8,4,-1.1
UFC 169 - Barao vs. Faber 2,Nick Catone,Tom Watson,Underdog,-1,-1,-1.9,0,-2.09,0.13,3.56,0.37,0.4,0.5,1,0.77
UFC 169 - Barao vs. Faber 2,Kevin Lee,Al Iaquinta,Favorite,1,-7,0.18,-0.02,0.93,0.11,-2.55,-0.25,-0.01,-0.6,6,-1.43
UFC 169 - Barao vs. Faber 2,Andy Enz,Clint Hester,Favorite,-1,-1,-0.15,0.19,-1.88,-0.01,1.02,0.35,0.02,0,5,-1.33
UFC 169 - Barao vs. Faber 2,Tony Martin,Rashid Magomedov,Favorite,-3,-3,1.72,0.12,0.46,-0.04,-0.04,0.3,0.21,-0.8,5,-1.49
UFC 169 - Barao vs. Faber 2,Neil Magny,Gasan Umalatov,Underdog,4,9,1.24,0.07,-1.68,-0.07,1.42,0.23,-0.36,0.3,-5,0.96
UFC Fight Night 36 - Machida vs. Mousasi,Gegard Mousasi,Lyoto Machida,Favorite,-1,-2,-1.16,0.03,0.36,-0.07,-0.38,0.05,0.16,-0.7,7,-1.5
UFC Fight Night 36 - Machida vs. Mousasi,Francis Carmont,Ronaldo Souza,Favorite,-2,-6,0.31,0.05,1.19,0.03,0.78,0.03,-0.16,0.7,2,-4.29
UFC Fight Night 36 - Machida vs. Mousasi,Takenori Sato,Erick Silva,Favorite,2,3,2.04,0.15,-8.74,0.4,0.85,0.35,0.56,1.4,1,-8.92
UFC Fight Night 36 - Machida vs. Mousasi,Nico Musoke,Viscardi Andrade,Underdog,-1,0,-0.3,0.07,-1.03,0.06,0.77,0.31,-0.16,0.1,2,0.57
UFC Fight Night 36 - Machida vs. Mousasi,Andy Ogle,Charles Oliveira,Favorite,2,5,1.15,0.09,0.97,0.01,0.73,0.14,-0.03,2.8,-1,-6.24
UFC Fight Night 36 - Machida vs. Mousasi,Cristiano Marcello,Joe Proctor,Favorite,1,0,0.83,0.03,0.32,0.01,-0.44,-0.11,0.5,0.9,-8,-1.87
UFC Fight Night 36 - Machida vs. Mousasi,Rodrigo Damm,Ivan Jorge,Underdog,-2,-2,0.09,-0.13,2.7,-0.02,-1.12,0,0.05,-0.3,1,0.87
UFC Fight Night 36 - Machida vs. Mousasi,Jesse Ronson,Francisco Trinaldo,Favorite,-1,0,-0.41,-0.02,-0.72,0.03,0.52,0.14,0.03,0,7,-0.9
UFC Fight Night 36 - Machida vs. Mousasi,Wilson Reis,Yuri Alcantara,Favorite,5,6,0.89,0.16,-0.25,-0.06,-3.71,0.2,0.13,0.2,4,-1.72
UFC Fight Night 36 - Machida vs. Mousasi,Maximo Blanco,Felipe Arantes,Favorite,0,2,-1.74,0.01,-0.53,-0.02,-0.92,0.11,-0.22,0.4,-4,-0.2
UFC Fight Night 36 - Machida vs. Mousasi,Ildemar Alcantara,Albert Tumenov,Underdog,3,5,-1.83,-0.04,-0.71,-0.08,1.8,0.48,0.06,0.9,9,1.57
UFC Fight Night 36 - Machida vs. Mousasi,Douglas Silva de Andrade,Zubaira Tukhugov,Favorite,1,0,-0.49,0.01,-0.92,0.05,1.52,-0.07,0.3,-0.2,-5,-0.09
UFC Fight Night 38 - Shogun vs. Henderson 2,Dan Henderson,Mauricio Rua,Underdog,-2,-2,-1.13,-0.03,-0.09,-0.03,-0.49,0.04,0.08,-0.4,11,0.9
UFC Fight Night 38 - Shogun vs. Henderson 2,C.B. Dollaway,Cezar Ferreira,Underdog,-1,2,-0.75,-0.05,-0.14,-0.01,-0.86,-0.01,0.22,-0.7,-1,3.28
UFC Fight Night 38 - Shogun vs. Henderson 2,Fabio Maldonado,Gian Villante,Underdog,-2,-1,0.91,0.14,-1.16,-0.02,-0.01,0.34,-0.22,0.6,6,2.28
UFC Fight Night 38 - Shogun vs. Henderson 2,Michel Prazeres,Mairbek Taisumov,Underdog,-3,-6,-0.6,0.08,-0.52,-0.07,2.6,-0.27,-0.41,0.6,7,2.53
UFC Fight Night 38 - Shogun vs. Henderson 2,Steven Siler,Rony Jason,Favorite,-4,3,-1.17,0.03,0.18,-0.01,0.12,0.09,-0.19,-0.8,3,-1.14
UFC Fight Night 38 - Shogun vs. Henderson 2,Thiago Santos,Ronny Markes,Underdog,1,1,1.55,-0.05,0.14,0.08,-2.25,-0.07,-0.35,-0.4,4,6.47
UFC Fight Night 38 - Shogun vs. Henderson 2,Jussier Formiga,Scott Jorgensen,Underdog,0,1,-1.95,-0.01,-1.07,-0.01,-0.79,-0.1,0.28,-0.1,-2,1.21
UFC Fight Night 38 - Shogun vs. Henderson 2,Kenny Robertson,Thiago de Oliveira Perpetuo,Underdog,0,-1,1.67,0.22,0.49,-0.01,1.45,0.24,0.09,-0.8,-4,0.5
UFC Fight Night 38 - Shogun vs. Henderson 2,Hans Stringer,Francimar Barroso,Underdog,2,-1,0.39,0.09,-0.23,-0.18,0.18,0.12,-0.21,0,-8,0.5
UFC Fight Night 38 - Shogun vs. Henderson 2,Godofredo Pepey,Noad Lahat,Underdog,-2,4,-0.47,-0.08,1.76,-0.16,-2,-0.19,0.19,-0.9,-3,2.49
UFC - The Ultimate Fighter Nations Finale,Tim Kennedy,Michael Bisping,Underdog,-2,-1,-1.55,0.09,-0.87,-0.03,1.53,-0.08,0.07,0.4,-1,1.35
UFC - The Ultimate Fighter Nations Finale,Patrick Cote,Kyle Noke,Underdog,-2,-1,-0.42,-0.02,1.12,-0.16,-0.85,-0.34,-0.23,-0.6,0,1.33
UFC - The Ultimate Fighter Nations Finale,Sheldon Westcott,Elias Theodorou,Favorite,0,4,1.93,0.02,-1.34,0.16,-1.96,-0.09,0.45,0,-4,-1.24
UFC - The Ultimate Fighter Nations Finale,Chad Laprise,Olivier Aubin-Mercier,Underdog,1,1,2.3,-0.09,0.62,0.1,-1.31,0.21,0.08,-0.5,2,0.78
UFC - The Ultimate Fighter Nations Finale,Akira Corassani,Dustin Poirier,Favorite,1,4,2.2,0.06,-0.55,0.03,0.63,0.08,-0.23,1.4,-6,-8.4
UFC - The Ultimate Fighter Nations Finale,K.J. Noons,Sam Stout,Underdog,-1,0,0.49,-0.07,0.3,-0.08,0.55,0.18,0.09,0.01,-1,0.05
UFC - The Ultimate Fighter Nations Finale,Leslie Smith,Sarah Kaufman,Favorite,-4,0,-0.91,0.06,-4.41,0.11,0.38,0.57,0.19,0,-3,-2.05
UFC - The Ultimate Fighter Nations Finale,Sean O'Connell,Ryan Jimmo,Favorite,0,-1,-2.34,0.18,-4,0.01,0.45,0.28,0.57,-0.5,2,-5.98
UFC - The Ultimate Fighter Nations Finale,Dustin Kimura,George Roop,Favorite,6,1,2.1,0.13,-1.35,0.09,0.12,0.2,0.09,-2.1,7,-0.8
UFC - The Ultimate Fighter Nations Finale,Mike de la Torre,Mark Bocek,Favorite,-3,4,-0.87,0.04,-2.43,0.09,3.29,0.2,-0.52,1.3,5,-5.54
UFC - The Ultimate Fighter Nations Finale,Vik Grujic,Nordine Taleb,Favorite,2,1,1.42,0.03,-0.77,0.25,0.76,0.43,0.47,-0.4,-5,-1.75
UFC - The Ultimate Fighter Nations Finale,Chris Indich,Richard Walsh,Favorite,2,0,2.53,0.16,-1.6,0.15,0.8,-0.1,0.16,-1.3,-2,-1.73
UFC - The Ultimate Fighter Nations Finale,Tim Gorman,Mitch Gagnon,Favorite,0,-4,0.03,0.15,-3.36,0.15,0.16,0.16,0.32,1.9,-2,-2.58
UFC on Fox 11 - Werdum vs. Browne,Fabricio Werdum,Travis Browne,Underdog,-2,-2,0.66,0.11,-1.67,0.13,0.54,-0.37,-0.44,1,5,1.7
UFC on Fox 11 - Werdum vs. Browne,Liz Carmouche,Miesha Tate,Favorite,0,-1,-0.16,-0.09,0.47,-0.1,-0.55,-0.2,-0.1,1,-3,-1.25
UFC on Fox 11 - Werdum vs. Browne,Donald Cerrone,Edson Barboza,Underdog,2,-2,0.3,0.02,-0.17,-0.03,0.71,-0.17,0.01,1.1,3,0.91
UFC on Fox 11 - Werdum vs. Browne,Yoel Romero,Brad Tavares,Underdog,-1,-1,0.06,0.06,-0.1,0.05,0.79,0.04,-0.03,0,11,0.64
UFC on Fox 11 - Werdum vs. Browne,Rafael dos Anjos,Khabib Nurmagomedov,Favorite,2,0,0.62,0.01,-1.46,0.05,3.37,0.13,0.29,0.2,-4,-2.39
UFC on Fox 11 - Werdum vs. Browne,Seth Baczynski,Thiago Alves,Favorite,-6,-5,0.65,0.1,0.28,0.11,-0.18,0.44,0.15,-0.5,-2,-3.99
UFC on Fox 11 - Werdum vs. Browne,Pat Healy,Jorge Masvidal,Favorite,-1,2,1.48,0.11,0.48,0.14,-1.7,0.22,0.17,-0.8,-1,-2.1
UFC on Fox 11 - Werdum vs. Browne,Alex White,Estevan Payan,Underdog,2,-1,-0.49,0,-0.51,0.03,0.56,-0.72,0.11,0.1,-7,0.43
UFC on Fox 11 - Werdum vs. Browne,Luke Zachrich,Caio Magalhaes,Favorite,-1,-1,-2.29,0.08,-1.68,-0.06,0.31,-0.18,-0.22,1.6,-6,-2.51
UFC on Fox 11 - Werdum vs. Browne,Hernani Perpetuo,Jordan Mein,Favorite,0,-1,0.62,0.15,-1.82,0.14,1.56,0.58,0.29,-0.3,-5,-3.51
UFC on Fox 11 - Werdum vs. Browne,Ray Borg,Dustin Ortiz,Favorite,1,2,1.42,-0.08,0.24,0.08,-0.88,-0.14,0.06,-0.9,5,-0.83
UFC on Fox 11 - Werdum vs. Browne,Chas Skelly,Mirsad Bektic,Favorite,-3,-2,0.42,0.01,-1.41,0.08,2.24,0.18,0.53,-1.9,-6,-0.56
UFC on Fox 11 - Werdum vs. Browne,Jack May,Derrick Lewis,Favorite,-5,1,0.96,0.12,-0.81,0.07,-0.34,-0.07,0.32,0,-4,-2.26
UFC 172 - Jones vs. Teixeira,Glover Teixeira,Jon Jones,Favorite,2,8,0.56,0.08,-2.21,0.13,-0.18,0.12,0.35,-0.4,-8,-3.81
UFC 172 - Jones vs. Teixeira,Anthony Johnson,Phil Davis,Underdog,0,-1,0.4,0.13,0.5,-0.12,-0.56,0.19,0.05,0,1,1.73
UFC 172 - Jones vs. Teixeira,Tim Boetsch,Luke Rockhold,Favorite,3,3,1.17,-0.01,-0.22,-0.04,-0.75,-0.05,0.06,0.2,-4,-7.86
UFC 172 - Jones vs. Teixeira,Yancy Medeiros,Jim Miller,Favorite,-2,-4,-1.37,0.05,-2.17,0.09,1.2,-0.06,-0.26,1,4,-1.15
UFC 172 - Jones vs. Teixeira,Max Holloway,Andre Fili,Underdog,0,-5,3.32,0.11,0.61,0.08,-1.91,0.06,0.15,0,-1,0.48
UFC 172 - Jones vs. Teixeira,Tim Elliott,Joseph Benavidez,Favorite,-3,-1,0.13,-0.1,0.01,0.05,-2.32,-0.17,0.03,-0.4,2,-3.76
UFC 172 - Jones vs. Teixeira,Isaac Vallie-Flagg,Takanori Gomi,Favorite,-1,0,-1.75,-0.06,-2.08,0.15,1.03,0.53,0.05,0.8,-1,-0.86
UFC 172 - Jones vs. Teixeira,Bethe Correia,Jessamyn Duke,Underdog,-6,-9,-0.46,-0.1,0.5,-0.01,-0.88,-0.18,0.35,-1.9,3,0.42
UFC 172 - Jones vs. Teixeira,Charlie Brenneman,Danny Castillo,Favorite,-1,1,1.05,-0.14,0.41,0.16,-1.28,-0.04,-0.09,0.2,1,-2.91
UFC 172 - Jones vs. Teixeira,Patrick Williams,Chris Beal,Favorite,-1,-4,-0.67,-0.16,-0.94,0.09,-1.11,0.17,-0.22,-0.3,-4,-0.3
UFC Fight Night 40 - Brown vs. Silva,Matt Brown,Erick Silva,Underdog,0,1,1.26,0.07,-1.26,0.06,0.83,0.11,0.07,-0.1,4,1.54
UFC Fight Night 40 - Brown vs. Silva,Costas Philippou,Lorenz Larkin,Underdog,0,-1,1.34,0.11,0.01,0.09,-0.13,0,0.14,-0.2,-7,1.61
UFC Fight Night 40 - Brown vs. Silva,Daron Cruickshank,Erik Koch,Underdog,-2,1,0.55,-0.04,0.16,0.1,1.02,-0.01,-0.21,-0.8,3,2.71
UFC Fight Night 40 - Brown vs. Silva,Tim Means,Neil Magny,Favorite,1,5,-1.61,-0.03,-1.22,-0.08,1.01,0,-0.11,0.1,-4,-2.49
UFC Fight Night 40 - Brown vs. Silva,Ruan Potts,Soa Palelei,Favorite,2,6,1.62,0.2,-3.24,0.26,1.45,0.31,0.33,-2.3,0,-2.62
UFC Fight Night 40 - Brown vs. Silva,Chris Cariaso,Louis Smolka,Underdog,-6,-4,-1.32,-0.04,-1.88,0.08,-0.58,0.04,0.25,-1,10,0.67
UFC Fight Night 40 - Brown vs. Silva,Ed Herman,Rafael Natal,Underdog,1,0,0.21,0.01,1.23,-0.15,-0.59,0.13,-0.18,0.5,2,1.06
UFC Fight Night 40 - Brown vs. Silva,Darrell Montague,Kyoji Horiguchi,Favorite,-1,-1,1.68,0.2,-2.93,0.1,1.28,0.19,0.22,-1.4,-3,-1.38
UFC Fight Night 40 - Brown vs. Silva,Zak Cummings,Yan Cabral,Underdog,1,2,0.94,-0.12,0.93,-0.07,-2.27,-0.07,0.29,-0.6,-2,4.56
UFC Fight Night 40 - Brown vs. Silva,Johnny Eduardo,Eddie Wineland,Underdog,0,2,-0.45,0.1,-0.54,-0.05,-0.12,-0.13,-0.28,0.3,6,7.22
UFC Fight Night 40 - Brown vs. Silva,Manny Gamburyan,Nik Lentz,Favorite,3,1,1.31,0.06,0.42,-0.05,0.04,-0.02,-0.26,0.5,-4,-4.39
UFC Fight Night 40 - Brown vs. Silva,Ben Wall,Justin Salas,Favorite,-2,-3,1.95,0.14,-5.57,0.39,2.43,0.2,-1,0,7,-2.24
UFC Fight Night 40 - Brown vs. Silva,Anthony Lapsley,Albert Tumenov,Favorite,2,0,3.23,0.08,2.76,-0.08,0.2,0.2,0.55,0,-12,-2.05
UFC Fight Night 42 - Henderson vs. Khabilov,Rustam Khabilov,Benson Henderson,Favorite,1,-3,0.95,0.11,-0.37,-0.02,-1.55,0.04,0.02,0.7,3,-1.71
UFC Fight Night 42 - Henderson vs. Khabilov,Diego Sanchez,Ross Pearson,Underdog,2,3,-0.99,-0.03,-1.07,-0.06,0.77,-0.11,-0.29,0.8,3,0.63
UFC Fight Night 42 - Henderson vs. Khabilov,John Moraga,John Dodson,Favorite,-3,0,0.63,-0.03,1.03,0.05,0.09,0.05,0.38,-1.1,-1,-4.6
UFC Fight Night 42 - Henderson vs. Khabilov,Jason High,Rafael dos Anjos,Favorite,0,-3,2.2,0.05,1.65,0.12,-0.41,-0.28,0.18,-2.2,-3,-2.17
UFC Fight Night 42 - Henderson vs. Khabilov,Yves Edwards,Piotr Hallmann,Favorite,0,-2,1.07,0.03,0.83,-0.08,1.79,-0.09,0.01,-0.3,-11,-0.85
UFC Fight Night 42 - Henderson vs. Khabilov,Bryan Caraway,Erik Perez,Underdog,0,0,-0.63,-0.06,1.52,-0.12,-0.59,-0.3,0.11,0.6,5,0.32
UFC Fight Night 42 - Henderson vs. Khabilov,Yaotzin Meza,Sergio Pettis,Favorite,-3,-2,2.45,-0.04,1.29,0.01,-0.21,0.2,0.49,-1,-13,-5.22
UFC Fight Night 42 - Henderson vs. Khabilov,Lance Benoist,Bobby Voelker,Underdog,-1,-2,-0.33,0.16,-3.14,0.14,0.46,-0.17,-0.05,0,-10,0.05
UFC Fight Night 42 - Henderson vs. Khabilov,Danny Martinez,Scott Jorgensen,Favorite,-1,-1,0.64,0.12,-0.36,0.02,-0.39,0,0.23,0.7,3,-1.83
UFC Fight Night 42 - Henderson vs. Khabilov,Jake Lindsey,Jon Tuck,Favorite,0,0,-0.44,-0.12,-0.27,0.14,-0.23,0,0,1,2,-0.77
UFC Fight Night 42 - Henderson vs. Khabilov,Roger Narvaez,Patrick Cummins,Favorite,-1,-3,2.14,0.13,0.03,-0.09,4.49,0.41,-0.22,-0.8,3,-2.53
UFC 174 - Johnson vs. Bagautinov,Ali Bagautinov,Demetrious Johnson,Favorite,-1,1,0.58,0.12,-1.43,0.15,0.84,0.2,0,0.2,-1,-5.42
UFC 174 - Johnson vs. Bagautinov,Tyron Woodley,Rory MacDonald,Favorite,3,2,1.39,-0.06,0.04,0.08,0.71,0.07,0.01,0,-8,-0.1
UFC 174 - Johnson vs. Bagautinov,Rafael Cavalcante,Ryan Bader,Favorite,1,0,0.11,-0.1,-2.23,0.22,2.77,0.04,0.17,0.3,-4,-0.92
UFC 174 - Johnson vs. Bagautinov,Andrei Arlovski,Brendan Schaub,Underdog,-1,-1,0.86,0.08,0.98,0,-1.94,-0.1,0.04,-0.2,4,0.69
UFC 174 - Johnson vs. Bagautinov,Ryan Jimmo,Ovince St Preux,Favorite,2,7,-0.09,-0.19,0.55,0.01,0.65,0.08,-0.02,0.5,-1,-0.98
UFC 174 - Johnson vs. Bagautinov,Kiichi Kunimoto,Daniel Sarafian,Underdog,1,-2,-0.36,-0.02,0.82,-0.17,1.23,0.13,-0.25,-0.4,2,3.93
UFC 174 - Johnson vs. Bagautinov,Valerie Letourneau,Elizabeth Phillips,Underdog,1,3,1.91,0.04,2.33,0,0.02,0.2,0.13,0.1,4,0.42
UFC 174 - Johnson vs. Bagautinov,Yves Jabouin,Mike Easton,Underdog,1,-2,-0.45,0.04,-1.35,0.01,1.19,0.38,0.16,0.1,4,1.53
UFC 174 - Johnson vs. Bagautinov,Tae Hyun Bang,Kajan Johnson,Underdog,-2,-4,0.25,-0.04,0.48,0.02,-1.05,-0.04,-0.05,0.3,1,1.14
UFC 174 - Johnson vs. Bagautinov,Roland Delorme,Michinori Tanaka,Favorite,-4,-4,-0.31,-0.07,-2.33,0.1,-0.11,0.04,0.01,-1.4,-7,-0.73
UFC 174 - Johnson vs. Bagautinov,Jason Saggo,Josh Shockley,Underdog,-2,-4,1.1,0.06,1.19,-0.08,2.33,0.4,-0.38,-0.8,4,0.05
UFC Fight Night 44 - Swanson vs. Stephens,Jeremy Stephens,Cub Swanson,Favorite,-1,-1,1.53,0.1,0.79,0.01,-0.07,0.14,-0.04,0,3,-1.6
UFC Fight Night 44 - Swanson vs. Stephens,Nico Musoke,Kelvin Gastelum,Favorite,-3,-4,-0.01,0.06,-0.57,0.01,-0.2,0.11,-0.23,-0.1,-6,-2.54
UFC Fight Night 44 - Swanson vs. Stephens,Andrew Craig,Cezar Ferreira,Favorite,0,2,-0.49,0.02,-0.57,0.03,2.16,0.16,0.12,0.5,1,-2.52
UFC Fight Night 44 - Swanson vs. Stephens,Hacran Dias,Ricardo Lamas,Favorite,0,2,1.05,0.06,-0.44,0.02,-0.66,-0.06,-0.3,0.4,3,-2.08
UFC Fight Night 44 - Swanson vs. Stephens,Clint Hester,Antonio Braga Neto,Underdog,-1,0,2,0.09,-0.48,0.11,-2.05,-0.02,0.6,-0.5,1,0.78
UFC Fight Night 44 - Swanson vs. Stephens,James Moontasri,Joe Ellenberger,Favorite,-1,1,-0.77,-0.01,-0.41,0.08,3.17,0.4,-0.79,0.9,3,-1.23
UFC Fight Night 44 - Swanson vs. Stephens,Colton Smith,Carlos Diego Ferreira,Favorite,-3,3,3.4,-0.02,1.13,0.05,-3.13,-0.06,0.35,-0.8,3,-1.21
UFC Fight Night 44 - Swanson vs. Stephens,Cody Gibson,Johnny Bedford,Underdog,0,0,-0.53,-0.07,2.33,-0.06,-0.55,-0.34,0.06,0.2,-5,1.18
UFC Fight Night 44 - Swanson vs. Stephens,Marcelo Guimaraes,Andy Enz,Underdog,-3,-5,1.16,0.28,-0.91,0.05,1.99,0.13,-0.58,0,8,1.42
UFC Fight Night 44 - Swanson vs. Stephens,Shane Howell,Ray Borg,Favorite,-4,-7,0.25,0.2,-0.62,0.06,3.89,0.5,0.26,1,-10,-3.86
UFC Fight Night 44 - Swanson vs. Stephens,Anthony Hamilton,Aleksei Oleinik,Favorite,-3,4,-0.62,-0.17,0.78,-0.01,-0.8,0.04,-0.41,1.9,2,-0.57
UFC Fight Night 46 - McGregor vs. Brandao,Diego Brandao,Conor McGregor,Favorite,2,10,2.38,0.02,1.28,-0.08,-2.54,-0.13,-0.14,-0.5,-1,-5.42
UFC Fight Night 46 - McGregor vs. Brandao,Zak Cummings,Gunnar Nelson,Favorite,-1,-3,-1.12,0.26,0.09,-0.06,1.28,0.31,0,0.4,-4,-6.44
UFC Fight Night 46 - McGregor vs. Brandao,Brad Pickett,Ian McCall,Favorite,-1,-4,0.57,0.08,-1.38,0.12,-0.39,-0.14,0.3,-0.4,-5,-0.83
UFC Fight Night 46 - McGregor vs. Brandao,Naoyuki Kotani,Norman Parke,Favorite,3,4,2.04,0.04,-0.01,0.14,1.15,0.1,0.31,-0.8,-5,-3.9
UFC Fight Night 46 - McGregor vs. Brandao,Chris Dempsey,Ilir Latifi,Favorite,0,1,-0.2,0.13,0.11,-0.09,-0.53,0.12,0.84,0.3,5,-2.27
UFC Fight Night 46 - McGregor vs. Brandao,Phil Harris,Neil Seery,Favorite,0,-1,1.22,0.15,0.63,-0.1,-0.98,0.06,-0.07,1.6,4,-0.8
UFC Fight Night 46 - McGregor vs. Brandao,Mike King,Cathal Pendred,Favorite,-2,0,-1.95,-0.14,1.72,-0.17,0.71,-0.02,0.43,-3.1,-4,-0.53
UFC Fight Night 46 - McGregor vs. Brandao,Trevor Smith,Tor Troeng,Underdog,1,-3,2.13,0.09,0.05,0.19,1.08,0.25,-0.06,0.4,2,0.8
UFC Fight Night 46 - McGregor vs. Brandao,Cody Donovan,Nikita Krylov,Favorite,0,3,-1.23,-0.04,-2.97,-0.01,0.62,0.1,0.53,-0.3,-11,-0.33
UFC Fight Night 46 - McGregor vs. Brandao,Patrick Holohan,Josh Sampo,Underdog,-6,-5,-0.14,-0.1,0.15,0.09,-1.82,-0.14,-0.31,0.8,3,1.81
UFC on Fox 12 - Lawler vs. Brown,Matt Brown,Robbie Lawler,Favorite,-1,-1,0.09,-0.08,1.75,0.04,-1.03,0.18,0.02,-1.3,-1,-3.65
UFC on Fox 12 - Lawler vs. Brown,Rogerio Nogueira,Anthony Johnson,Favorite,0,3,0.82,0.12,-0.51,0.01,1.79,0.13,0.15,-0.2,-7,-5.23
UFC on Fox 12 - Lawler vs. Brown,Clay Guida,Dennis Bermudez,Favorite,-1,-4,1.78,0.13,0.06,-0.02,0.76,0.04,0.15,0.5,-5,-1.23
UFC on Fox 12 - Lawler vs. Brown,Bobby Green,Josh Thomson,Underdog,0,0,3.86,0.05,1.63,-0.02,-0.73,-0.01,0.2,-1,-8,3.14
UFC on Fox 12 - Lawler vs. Brown,Daron Cruickshank,Jorge Masvidal,Favorite,3,2,1.17,0.09,0.07,0.07,-0.66,0.18,0.12,0.1,1,-1.68
UFC on Fox 12 - Lawler vs. Brown,Kyle Kingsbury,Patrick Cummins,Favorite,-2,-3,1.29,0.1,-0.46,0.04,1.85,0,-0.24,0.1,1,-1.55
UFC on Fox 12 - Lawler vs. Brown,Hernani Perpetuo,Tim Means,Favorite,2,1,2.35,0.2,-0.73,0.05,1.16,0.4,0.28,-0.3,1,-1.44
UFC on Fox 12 - Lawler vs. Brown,Mike de la Torre,Brian Ortega,Favorite,-3,-2,0.86,-0.01,1.79,-0.02,0.81,0.11,-0.26,1.2,-4,-1.22
UFC on Fox 12 - Lawler vs. Brown,Akbarh Arreola,Tiago Trator,Favorite,-1,-1,1.37,-0.1,0.22,0.03,-0.44,-0.89,0,-0.1,-4,-2.35
UFC on Fox 12 - Lawler vs. Brown,Andreas Stahl,Gilbert Burns,Favorite,-1,-2,0.46,0.11,-1.32,-0.03,0.69,-0.28,-0.3,0.5,1,-0.78
UFC on Fox 12 - Lawler vs. Brown,Juliana Lima,Joanna Jedrzejczyk,Favorite,1,0,4.34,0.04,1.14,0.07,-1.45,0.31,0.1,0.1,-6,-2.53
UFC on Fox 12 - Lawler vs. Brown,Noad Lahat,Steven Siler,Underdog,-2,-1,-0.42,0.05,-1.49,0.09,1.9,0.05,-0.39,0.8,2,1.59
UFC Fight Night 48 - Bisping vs. Le,Cung Le,Michael Bisping,Favorite,4,5,-0.03,-0.1,-0.27,-0.01,-0.32,-0.28,-0.25,0,-6,-2.12
UFC Fight Night 48 - Bisping vs. Le,Dong Hyun Kim,Tyron Woodley,Favorite,-5,-2,0.24,-0.01,0.87,-0.04,-1.87,-0.03,0.16,-0.2,0,-1.35
UFC Fight Night 48 - Bisping vs. Le,Zhang Lipeng,Brendan O'Reilly,Underdog,4,2,-0.62,0.01,-0.89,0.14,-0.47,-0.13,0.33,0.2,-2,0.61
UFC Fight Night 48 - Bisping vs. Le,Ning Guangyou,Yang Jianping,Underdog,3,1,-1.26,-0.15,0.16,0.04,-0.09,-0.25,-0.29,-0.3,-7,1.57
UFC Fight Night 48 - Bisping vs. Le,Wang Sai,Danny Mitchell,Underdog,2,4,-0.64,0.03,0.26,-0.01,0,0,0.23,3,-1,1.31
UFC Fight Night 48 - Bisping vs. Le,Shinsho Anzai,Alberto Mina,Favorite,5,7,0,-0.2,-0.05,0.02,0.02,0.04,-0.25,0,4,-1.86
UFC Fight Night 48 - Bisping vs. Le,Roland Delorme,Yuta Sasaki,Favorite,1,0,-0.12,-0.03,-1.82,0.1,0.52,0.09,-0.01,-0.4,-6,-0.64
UFC Fight Night 48 - Bisping vs. Le,Wang Anying,Colby Covington,Favorite,-1,-2,2.56,0.12,1.35,0.11,3.79,0.44,0.34,0.2,3,-3.96
UFC Fight Night 48 - Bisping vs. Le,Zhuikui Yao,Royston Wee,Favorite,2,3,-0.34,0.39,-0.37,0.01,2.72,0.65,-0.58,0,4,-1.95
UFC Fight Night 48 - Bisping vs. Le,Elizabeth Phillips,Milana Dudieva,Favorite,-3,7,-1.73,-0.02,0.36,0,1.59,0.2,-0.53,-0.2,-3,-0.62
